"2011-Jan","2011-Feb","2011-Mar","2011-Apr","2011-May","2011-Jun","2011-Jul","2011-Aug","2011-Sep","2011-Oct","2011-Nov","2011-Dec","2012-Jan","2012-Feb","2012-Mar","2012-Apr","2012-May","2012-Jun","2012-Jul","2012-Aug","2012-Sep","2012-Oct","2012-Nov","2012-Dec","2013-Jan","2013-Feb","2013-Mar","2013-Apr","2013-May","2013-Jun","2013-Jul","2013-Aug","2013-Sep","2013-Oct","2013-Nov","2013-Dec","2014-Jan","2014-Feb","2014-Mar","2014-Apr","2014-May","2014-Jun","2014-Jul","2014-Aug","2014-Sep","2014-Oct","2014-Nov","2014-Dec","2015-Jan","2015-Feb","2015-Mar","2015-Apr","2015-May","2015-Jun","2015-Jul","2015-Aug","2015-Sep","2015-Oct","2015-Nov","2015-Dec","2016-Jan","2016-Feb","2016-Mar","2016-Apr","2016-May","2016-Jun","2016-Jul","2016-Aug","2016-Sep","2016-Oct","2016-Nov","2016-Dec"
1878790,1669843,1804258,2131545,2027555,1794942,1972106,2268464,2621221,3323561,4071558,4377176,4182288,3778853,4355965,3871018,3688153,3424019,4215203,3901180,3599331,3973432,3844089,3833988,4080586,3309724,3625196,3606342,4085734,3732064,3634779,3385410,3024118,3213424,3347711,3162393,2726268,2454896,2753840,2677754,2781463,2540376,2554121,2788657,2975011,2993163,2854549,2648182,2559652,2254405,2522445,2220029,2311397,2176182,2386128,2474481,2356145,2187455,2017673,2012081,2230553,2042277,1931265,1729956,1566137,1520222,1577097,1597514,1455789,1532578,1603973,1611744
15155.21,8895.39,0,0,194536,155251,143634.24,188742,294711,592360.21,727177,703914.98,588067,556324,522527,405860,384341,308779,345811,280789,263427,263111,319192,361957,413277,310861,306080,371506,215920,235818,240816,211563,291248,447582,379965,354052,315438.15,292972.71,268838.97,261950.47,208145.32,199345,218965,232257,112695,112902,97954,114987.93,144207.72,152803.88,175682.55,142593,145331,145158,146305.73,159773,147449,156518,124142,104810.91,114427,102618,169067,102953,74291,85336,138203,152479,168143,141803,63946,66779
266442,202970,322388,338278,294776,313293,488665,552304,576515,543066,519165,465623,414018,312149,378556,392399,365039,382996,463371,420498,463724,484727,437745,652231,610752,482182,780286,794969,791894,773365,720561,715812,750295,921114,966396,941620,878099,827530,822731,754706,768906,639443,828022,658543,611901,662404,527127,484933,444614,474539,492073,498675,419385,374151,327189,323570,311591,341559,311512,240677,266108,289821,290442,251675,235743,241021,253024,250215,229997,222836,213333,206022
40475,38694,37003,35394,33866,32415,31035,29724,22254,17335,21611,20389,24341,23311,22332,21401,20517,19678,18879,18119,13809,10971,13433,12723,16672,16660,16649,16638,16627,16616,16605,16594,103530,273885,254363,345827,186177,368468,533001,568337,432691,309075,446308,411970,472204,452082,433781,298565,311556,224620,192578,167644,223379,217785,229836,129495,47469,25299,34769,64360,27296,52777,19220,24413,19220,10800,11160,11160,10800,11160,10800,11160
83771,75955,83927,80734,77394,70253,80039,82955,80642,90696,94260,91264,116213,113804,147812,162853,146369,157607,198313,231193,305775,356697,400347,413462,105735,99085,113722,106129,131635,134837,145428,146311,143670,201222,199842,351786,508836,440412,489528,482187,473497,433457,431454,472682,606447,625393,544043,516034,491875,411727,506850,395660,402083,390287,388946,376774,356609,402339,382026,328006,340941,271695,294782,260018,276838,270839,249276,277730,283649,270684,257375,252596
1089667,1007117,1098303,890182,987479,1022734,1137050,1092175,1005786,1068994,906115,903305,869171,872703,906248,1007234,1049990,1138030,998387,856007,1031743,818612,892494,958562,1009797,629972,789001,988717,1212324,1145266,1279589,1343121,1119396,1065164,1178845,1154803,1296289,997171,1548757,1443004,1129116,935078,1154729,1257951,1196919,1372507,1457025,1664600,1611807,1438391,1920692,1607540,1540218,1211291,1076227,1019663,1417283,1756220,1410786,1343511,1292266,1329513,1471261,1584951,1912536,1687632,1565171,1204565,1155974,1144784,1286451,853388
832851,309225,449129,746385,746080,741789,867312,810354,748980,747255,602572,911812,757772,724384,790774,915274,1159761,911005,1005685,797914,1604321,1905392,1599371,1984567,2667280,2097685,2499489,2647578,2750204,2829548,3074279,3046857,2501744,2603460,2565073,2257611,2759284,2083537,2632303,2869815,2996079,3077085,3601420,3439830,3754764,3542644,2927740,3610422,2500460,2831386,3537160,3596243,3320922,3535857,3734483,3554223,3259773,3355720,3013309,3155239,3603601,3125138,3412331,3181636,2858344,2946199,3064104,3110010,3128578,3276354,3392257,2989907
6252.4,5480,6597.4,6082.3,5346.5,3673.9,3264.7,3446,3090.1,7523.7,0,140,2638,2518,240252,284524,250492,214370,247324,364170,713088,1536323,2639333,3360160,3620194,3546674,4146313,4304383,4944559,5164630,5727509,5353930,6615161,6981695,7110533,6570101,6093479,5937214,6941820,6566462,7002900,6630748,7886241,8295358,8054489,8672749,8838505,9043899,8732535,8067434,8807833,8406627,8521333,7885158,8074760,7823491,7516755,7868536,7169747,6414686,6865426,6395906,6664032,6046383,5762498,5355747,5334650,5920031,5595104,5547382,5095611,5380110
139351,114828,126721,126542,125446,216432,198028,168516,163052,215842,196444,158193,222077,505379,613651,816808,1308905,1758885,1970451,2098029,2686145,3396976,3332952,3520882,3198016,3025400,3912859,4520594,4394276,4101085,5090417,5131924,6272389,6529445,6031699,6052864,6107802,5631550,6359588,6014294,5835910,6223788,6095989,6797015,6573877,7273106,7115329,7544823,7338060,6069115,6941886,6709551,6296393,6143933,6021711,5859357,5519563,5741903,4922724,5180444,5085629,4190743,4279588,3778918,3972779,3745350,3799841,3591377,3349829,3844243,3632647,3623100
317811.4,321453.4,400706.8,336415.3,459642.6,498985.3,518245.3,426810.8,499559.8,486312.7,477339.3,509153.3,566786,664936,714677,578026,663593,785149,802491,976213,877351,1077814,1010924,891745,850830,747832,802207,755211,830361,640032,554377,653182,589732,837905,861306,791614,745104,620192,985396,791383,712094,651098,696244,734354,636525,662473,654909,591537,584797,496944,558485,629472,552242,928737,521032,523045,510514,511689,478933,380247,406026,399361,443704,453224,371721,353553,408557,385580,332055,393995,342564,310768
