API,DOGGR_API,WR_only?,GIS_Code1,GIS_Code2,Basin,County,Field,Area,Pool,Latitude,Longitude,Lat_Long_Source,Date,Date_Source,Depth_ft,Depth_type,AW_Frac_DOGGR_API,AW_County,AW_Field,AW_Latitude,AW_fLongitude,AW_SPUDDate,AW_WellDepth_ft,CR_API,CR_DOGGR_API,CR_County,CR_Field,CR_Horizon,CR_Lat,CR_Lng,CR_Job_Start,CR_Job_End,CR_TVD_Start,Notices_API,Notices_DOGGR_API,Notices_Min_Depth,SC_API,SC_DOGGR_API,SC_Latitude,SC_Longitude,SC_Start_Date,FF_API,FF_DOGGR_API,FF_County,FF_Field,FF_Latitude,FF_Longitude,FF_JobStartDate,FF_JobEndDate,FF_True_Vertical_Depth,CV_API,CV_DOGGR_API,CV_Lat,CV_Lng,CV_Date_Treatment_Begin,CV_TVD_ft,WR_Frac_Confirmed_API,WR_Frac_Confirmed_DOGGR_API,WR_Frac_Pack_API,WR_Frac_Pack_DOGGR_API,WR_Latitude,WR_Longitude,Min_FP_FI_Date,FP_API,FP_DOGGR_API,FP_Date,FP_Pool_Name,FI_API,FI_DOGGR_API,FI_Date,FI_Pool_Name
04-011-20741,01120741,1,A,DG,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,39.15791143,-121.9517146,AW,8/1/06,FP,,no depth,,Colusa,Sycamore Gas,39.15791143,-121.9517146,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-011-20741,01120741,,,,,8/1/06,04-011-20741,01120741,8/1/06,No Pool Breakdown,,,,
04-011-20765,01120765,1,A,DG,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,39.07356468,-121.9051261,AW,5/1/07,FP,,no depth,,Colusa,Grimes Gas,39.07356468,-121.9051261,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-011-20765,01120765,,,,,5/1/07,04-011-20765,01120765,5/1/07,Forbes,,,,
04-011-20767,01120767,0,A,DG,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,39.06615883,-121.9077213,AW,6/7/11,FF,6700,TVD of well,01120767,Colusa,Grimes Gas,39.06615883,-121.9077213,,0,,,,,,,,,,,,,,,,,,,04-011-20767,01120767,Colusa,Grimes Gas,39.066159,-121.907721,6/7/11,6/7/11,6700,,,,,,,,,,,,,7/1/07,04-011-20767,01120767,7/1/07,Forbes,,,,
04-011-20770,01120770,1,A,DG,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,39.16310286,-121.9404672,AW,5/1/07,FP,,no depth,,Colusa,Sycamore Gas,39.16310286,-121.9404672,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-011-20770,01120770,,,,,5/1/07,04-011-20770,01120770,5/1/07,No Pool Breakdown,,,,
04-011-20776,01120776,1,A,DG,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,39.1609958,-121.9466843,AW,6/1/07,FP,,no depth,,Colusa,Sycamore Gas,39.1609958,-121.9466843,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-011-20776,01120776,,,,,6/1/07,04-011-20776,01120776,6/1/07,No Pool Breakdown,,,,
04-011-20784,01120784,1,A,DG,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,39.12728826,-121.9442044,AW,8/1/07,FP,,no depth,,Colusa,Sycamore Gas,39.12728826,-121.9442044,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-011-20784,01120784,,,,,8/1/07,04-011-20784,01120784,8/1/07,No Pool Breakdown,,,,
04-011-20798,01120798,0,A,DG,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,39.13744955,-121.9549628,AW,3/15/11,FF,7306,TVD of well,01120798,Colusa,Sycamore Gas,39.13744955,-121.9549628,,0,,,,,,,,,,,,,,,,,,,04-011-20798,01120798,Colusa,Sycamore Gas,39.13745,-121.954963,3/15/11,3/15/11,7306,,,,,,,,,,,,,3/1/08,04-011-20798,01120798,3/1/08,No Pool Breakdown,,,,
04-011-20805,01120805,1,A,DG,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,39.11948459,-121.9159805,AW,12/1/07,FP,,no depth,,Colusa,Grimes Gas,39.11948459,-121.9159805,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-011-20805,01120805,,,,,12/1/07,04-011-20805,01120805,12/1/07,Forbes,,,,
04-011-20819,01120819,1,A,DG,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,39.10343868,-121.9133911,AW,12/1/08,FP,,no depth,,Colusa,Grimes Gas,39.10343868,-121.9133911,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-011-20819,01120819,,,,,12/1/08,04-011-20819,01120819,12/1/08,Forbes,,,,
04-011-20825,01120825,1,A,DG,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,39.12096719,-121.9366228,AW,8/1/08,FP,,no depth,,Colusa,Grimes Gas,39.12096719,-121.9366228,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-011-20825,01120825,,,,,8/1/08,04-011-20825,01120825,8/1/08,Forbes,,,,
