Source ,Source_ID,API,Date,Treatment_Type,Production _Type,Production_Type_Note,Water_Volume_gal,County,Field,Latitude,Longitude,Operator,True_Vertical_Depth,Perforation_Length
CVRWQCB,2816,04-030-46445,2012-07-13,Hydraulic Fracture,Oil,Presumed Oil,"178,500",Kern,"Belridge, South",35.513117,-119.764134,BreitBurn,"2,399",
CVRWQCB,2817,04-030-46451,2012-07-13,Hydraulic Fracture,Oil,Presumed Oil,"130,200",Kern,"Belridge, North",35.514225,-119.764729,BreitBurn,"2,394",
CVRWQCB,2820,04-030-46446,2012-07-10,Hydraulic Fracture,Oil,Presumed Oil,"172,200",Kern,"Belridge, North",35.516965,-119.764846,BreitBurn,"2,349",
CVRWQCB,2821,04-030-46447,2012-07-11,Hydraulic Fracture,Oil,Presumed Oil,"163,800",Kern,"Belridge, North",35.516415,-119.764845,BreitBurn,"2,349",
CVRWQCB,2822,04-030-46448,2012-07-10,Hydraulic Fracture,Oil,Presumed Oil,"170,100",Kern,"Belridge, North",35.516552,-119.765063,BreitBurn,"2,349",
CVRWQCB,2823,04-030-46449,2012-07-11,Hydraulic Fracture,Oil,Presumed Oil,"121,800",Kern,"Belridge, North",35.516072,-119.76434,BreitBurn,"2,349",
CVRWQCB,2824,04-030-46452,2012-07-14,Hydraulic Fracture,Oil,Presumed Oil,"117,600",Kern,"Belridge, North",35.513833,-119.764421,BreitBurn,"2,349",
CVRWQCB,2825,04-030-46450,2012-07-12,Hydraulic Fracture,Oil,Presumed Oil,"172,200",Kern,"Belridge, North",35.515591,-119.764542,BreitBurn,"2,346",
CVRWQCB,2828,04-030-50422,2013-06-01,Hydraulic Fracture,Oil,Presumed Oil,"296,058",Kern,"Belridge, South",35.51142,-119.764456,BreitBurn,"2,784",
CVRWQCB,2830,04-030-50423,2013-05-28,Hydraulic Fracture,Oil,Presumed Oil,"248,304",Kern,"Belridge, South",35.510166,-119.763996,BreitBurn,"2,619",
CVRWQCB,2833,04-030-50421,2013-06-01,Hydraulic Fracture,Oil,Presumed Oil,"301,665",Kern,"Belridge, South",35.511325,-119.76397,BreitBurn,"2,587",
CVRWQCB,2838,04-030-50413,2013-07-02,Hydraulic Fracture,Oil,Presumed Oil,"264,134",Kern,"Belridge, North",35.516686,-119.76475,BreitBurn,"2,504",
CVRWQCB,2841,04-030-50420,2013-06-02,Hydraulic Fracture,Oil,Presumed Oil,"286,642",Kern,"Belridge, South",35.511819,-119.763634,BreitBurn,"2,478",
CVRWQCB,2843,04-030-50424,2013-05-28,Hydraulic Fracture,Oil,Presumed Oil,"273,042",Kern,"Belridge, South",35.510146,-119.766386,BreitBurn,"2,455",
CVRWQCB,2845,04-030-50426,2013-05-27,Hydraulic Fracture,Oil,Presumed Oil,"252,815",Kern,"Belridge, South",35.510087,-119.76849,BreitBurn,"2,440",
CVRWQCB,2848,04-030-50425,2013-05-27,Hydraulic Fracture,Oil,Presumed Oil,"244,457",Kern,"Belridge, South",35.510083,-119.767758,BreitBurn,"2,398",
CVRWQCB,2850,04-030-50756,2013-07-03,Hydraulic Fracture,Oil,Presumed Oil,"260,299",Kern,"Belridge, North",35.516373,-119.766185,BreitBurn,"2,349",
CVRWQCB,6314,04-030-47563,2012-09-26,Hydraulic Fracture,Oil,Presumed Oil,"228,228",Kern,Lost Hills,35.6058193,-119.7194052,Chevron,"2,826",
CVRWQCB,6319,04-030-49546,2013-01-10,Hydraulic Fracture,Oil,Presumed Oil,"283,626",Kern,Lost Hills,35.6228625,-119.7269747,Chevron,"2,442",
CVRWQCB,8624,04-030-48254,2012-12-18,Hydraulic Fracture,Oil,Presumed Oil,"33,516",Kern,Canfield Ranch,35.306117,-119.131396,Foothill,"10,500",
CVRWQCB,8731,04-031-20497,2013-10-28,Hydraulic Fracture,Oil,Presumed Oil,"4,859,400",Kings,Kettleman Middle Dome,35.91069501,-119.9612327,"KMD Operating Company, LLC","12,310",
CVRWQCB,8732,04-031-20491,2013-09-02,Hydraulic Fracture,Oil,Presumed Oil,"4,452,000",Kings,Kettleman Middle Dome,35.89721783,-119.9503534,"KMD Operating Company, LLC","11,943",
CVRWQCB,8733,04-019-05596,2012-04-27,Hydraulic Fracture,Oil,Presumed Oil,"18,186",Fresno,Raisin City,36.62853,-120.0855,LEC,,
CVRWQCB,8736,04-019-25323,2013-09-09,Hydraulic Fracture,Oil,Presumed Oil,"22,302",Fresno,Riverdale,36.4516,-119.89547,LEC,"8,050",
CVRWQCB,8737,04-019-25323,2013-11-08,Hydraulic Fracture,Oil,Presumed Oil,"20,454",Fresno,Riverdale,36.4516,-119.89547,LEC,"8,050",
CVRWQCB,8738,04-019-05632,2013-02-25,Hydraulic Fracture,Oil,Presumed Oil,"15,582",Fresno,Riverdale,36.45079,-119.90285,LEC,"7,930",
CVRWQCB,8739,04-019-24978,2013-09-09,Hydraulic Fracture,Oil,Presumed Oil,"40,614",Fresno,Riverdale,36.46025,-119.90389,LEC,"8,050",
CVRWQCB,8740,04-019-24979,2013-01-29,Hydraulic Fracture,Oil,Presumed Oil,"39,942",Fresno,Riverdale,36.45945,-119.9008,LEC,"8,050",
CVRWQCB,8741,04-019-05522,2012-04-28,Hydraulic Fracture,Oil,Presumed Oil,"12,222",Fresno,Raisin City,36.61769,-120.06178,LEC,"5,317",
CVRWQCB,8742,04-019-25461,2013-10-10,Hydraulic Fracture,Oil,Presumed Oil,"40,446",Fresno,Riverdale,36.454883,-119.901785,LEC,"8,050",
CVRWQCB,8744,04-019-25328,2012-04-26,Hydraulic Fracture,Oil,Presumed Oil,"22,890",Fresno,Raisin City,36.62297,-120.07068,LEC,"6,400",
CVRWQCB,8745,04-019-25328,2012-11-14,Hydraulic Fracture,Oil,Presumed Oil,"19,320",Fresno,Raisin City,36.62297,-120.07068,LEC,"6,400",
CVRWQCB,8746,04-019-25459,2013-11-08,Hydraulic Fracture,Oil,Presumed Oil,"23,772",Fresno,Raisin City,36.62601,-120.0839,LEC,"6,400",
CVRWQCB,8747,04-019-25460,2013-10-25,Hydraulic Fracture,Oil,Presumed Oil,"14,742",Fresno,Raisin City,36.628433,-120.0814,LEC,"6,400",
CVRWQCB,8748,04-019-05491,2012-04-28,Hydraulic Fracture,Oil,Presumed Oil,"13,188",Fresno,Raisin City,36.62748,-120.08323,LEC,,
CVRWQCB,9006,04-030-46572,2012-07-17,Hydraulic Fracture,Oil,Presumed Oil,"4,186",Kern,Railroad Gap,35.333,-119.592,Occidental of Elk Hills Inc,"11,535",
CVRWQCB,9007,04-030-44934,2012-08-02,Hydraulic Fracture,Oil,Presumed Oil,"81,147",Kern,Elk Hills,35.328,-119.586,Occidental of Elk Hills Inc,"11,455",
CVRWQCB,9038,04-030-47121,2012-07-07,Hydraulic Fracture,Oil,Presumed Oil,"213,935",Kern,Railroad Gap,35.335,-119.598,Occidental of Elk Hills Inc,"10,441",
CVRWQCB,9058,04-030-50108,2013-07-18,Hydraulic Fracture,Oil,Presumed Oil,"789,138",Kern,Elk Hills,35.309,-119.405,Occidental of Elk Hills Inc,"10,032",
CVRWQCB,9180,04-030-46163,2012-02-12,Hydraulic Fracture,Oil,Presumed Oil,"22,554",Kern,Elk Hills,35.318,-119.562,Occidental of Elk Hills Inc,"6,381",
CVRWQCB,9234,04-030-42839,2012-01-19,Hydraulic Fracture,Oil,Presumed Oil,"25,116",Kern,Elk Hills,35.291,-119.401,Occidental of Elk Hills Inc,"3,981",
CVRWQCB,9259,04-030-46118,2012-03-16,Hydraulic Fracture,Oil,Presumed Oil,"29,349",Kern,Elk Hills,35.284,-119.364,Occidental of Elk Hills Inc,"3,733",
CVRWQCB,9280,04-030-46455,2012-10-15,Hydraulic Fracture,Oil,Presumed Oil,"176,733",Kern,Elk Hills,35.304,-119.561,Occidental of Elk Hills Inc,"3,522",
CVRWQCB,9285,04-030-46459,2012-07-25,Hydraulic Fracture,Oil,Presumed Oil,"230,588",Kern,Elk Hills,35.304,-119.558,Occidental of Elk Hills Inc,"3,508",
CVRWQCB,9322,04-030-45608,2012-07-22,Hydraulic Fracture,Oil,Presumed Oil,"24,636",Kern,Elk Hills,35.263,-119.354,Occidental of Elk Hills Inc,"3,365",
CVRWQCB,9344,04-030-48424,2012-09-04,Hydraulic Fracture,Oil,Presumed Oil,"66,037",Kern,Elk Hills,35.292,-119.428,Occidental of Elk Hills Inc,"3,318",
CVRWQCB,9383,04-030-46157,2012-09-22,Hydraulic Fracture,Oil,Presumed Oil,"53,763",Kern,Elk Hills,35.261,-119.458,Occidental of Elk Hills Inc,"3,063",
CVRWQCB,9429,04-019-25236,2013-12-13,Hydraulic Fracture,Oil,Presumed Oil,"2,123,268",Fresno,Guijarral Hills,34.30999861,-119.2033608,Oxy USA Vintage,"11,764",
CVRWQCB,9475,04-030-51751,2013-04-30,Hydraulic Fracture,Oil,Presumed Oil,"693,420",Kern,Rose,35.0029425,-119.0842011,Oxy USA Vintage,"7,673",
CVRWQCB,9518,04-030-47717,2012-07-16,Hydraulic Fracture,Oil,Presumed Oil,"136,668",Kern,Tejon,34.98226948,-118.9357892,Oxy USA Vintage,"4,201",
CVRWQCB,10088,04-030-43156,2013-06-22,Hydraulic Fracture,Oil,Presumed Oil,"270,942",Kern,Jerry Slough (Abd),35.489075,-119.46443,Oxy USA Vintage,"13,188",
CVRWQCB,10325,04-030-17745,2012-12-26,Hydraulic Fracture,Oil,Presumed Oil,"12,600",Kern,Round Mountain,35.4895091,118.8927992,Macpherson Operating Company,,
CVRWQCB,10326,04-029-18021,2013-02-14,Hydraulic Fracture,Oil,Presumed Oil,"12,600",Kern,Round Mountain,35.48842935,118.8915836,Macpherson Operating Company,,
CVRWQCB,10336,04-029-18305,2013-11-13,Hydraulic Fracture,Oil,Presumed Oil,"21,000",Kern,Round Mountain,35.50476346,118.8938232,Macpherson Operating Company,,
CVRWQCB,10337,04-029-18307,2013-03-21,Hydraulic Fracture,Oil,Presumed Oil,"21,000",Kern,Round Mountain,35.50365889,118.8937305,Macpherson Operating Company,,
CVRWQCB,10349,04-029-18431,2013-11-12,Hydraulic Fracture,Oil,Presumed Oil,"42,000",Kern,Round Mountain,35.47004894,118.876759,Macpherson Operating Company,,
CVRWQCB,10350,04-029-18434,2013-11-05,Hydraulic Fracture,Oil,Presumed Oil,"42,000",Kern,Round Mountain,35.46282247,118.876122,Macpherson Operating Company,,
CVRWQCB,10356,04-029-16904,2012-01-09,Hydraulic Fracture,Oil,Presumed Oil,"21,000",Kern,Round Mountain,35.5229568,118.9064295,Macpherson Operating Company,,
CVRWQCB,10365,04-030-36957,2012-01-28,Hydraulic Fracture,Oil,Presumed Oil,"42,000",Kern,Round Mountain,35.47707588,118.8811204,Macpherson Operating Company,,
CVRWQCB,10366,04-029-18057,2012-10-01,Hydraulic Fracture,Oil,Presumed Oil,"42,000",Kern,Round Mountain,35.47829026,118.8803172,Macpherson Operating Company,,
CVRWQCB,10382,04-029-18406,2012-12-01,Hydraulic Fracture,Oil,Presumed Oil,"42,000",Kern,Round Mountain,35.47257152,118.8827752,Macpherson Operating Company,,
CVRWQCB,10383,04-030-29758,2012-12-14,Hydraulic Fracture,Oil,Presumed Oil,"42,000",Kern,Round Mountain,35.47524213,118.8818032,Macpherson Operating Company,,
CVRWQCB,10384,04-030-29759,2012-12-01,Hydraulic Fracture,Oil,Presumed Oil,"42,000",Kern,Round Mountain,35.47502352,118.8818312,Macpherson Operating Company,,
CVRWQCB,10385,04-029-16998,2012-12-14,Hydraulic Fracture,Oil,Presumed Oil,"21,000",Kern,Round Mountain,35.49425124,118.8972333,Macpherson Operating Company,,
CVRWQCB,10386,04-029-18246,2012-12-12,Hydraulic Fracture,Oil,Presumed Oil,"21,000",Kern,Round Mountain,35.50437306,118.9085056,Macpherson Operating Company,,
CVRWQCB,10387,04-029-18310,2012-12-12,Hydraulic Fracture,Oil,Presumed Oil,"21,000",Kern,Round Mountain,35.50763624,118.8936763,Macpherson Operating Company,,
CVRWQCB,10388,04-029-18503,2012-12-10,Hydraulic Fracture,Oil,Presumed Oil,"21,000",Kern,Round Mountain,35.51676145,118.9017547,Macpherson Operating Company,,
CVRWQCB,10389,04-030-29760,2012-12-10,Hydraulic Fracture,Oil,Presumed Oil,"42,000",Kern,Round Mountain,35.47393433,118.8830422,Macpherson Operating Company,,
CVRWQCB,10390,04-030-29924,2013-01-11,Hydraulic Fracture,Oil,Presumed Oil,"42,000",Kern,Round Mountain,35.47452536,118.8799302,Macpherson Operating Company,,
CVRWQCB,10391,04-029-18392,2013-01-10,Hydraulic Fracture,Oil,Presumed Oil,"42,000",Kern,Round Mountain,35.47248524,118.8813714,Macpherson Operating Company,,
CVRWQCB,10392,04-030-37225,2013-01-08,Hydraulic Fracture,Oil,Presumed Oil,"42,000",Kern,Round Mountain,35.4740702,118.8775482,Macpherson Operating Company,,
CVRWQCB,10393,04-029-18061,2013-01-08,Hydraulic Fracture,Oil,Presumed Oil,"42,000",Kern,Round Mountain,35.47115116,118.8774345,Macpherson Operating Company,,
CVRWQCB,10394,04-030-29762,2013-01-08,Hydraulic Fracture,Oil,Presumed Oil,"42,000",Kern,Round Mountain,35.47253376,118.8798206,Macpherson Operating Company,,
CVRWQCB,10395,04-030-37081,2013-02-18,Hydraulic Fracture,Oil,Presumed Oil,"42,000",Kern,Round Mountain,35.47621258,118.879026,Macpherson Operating Company,,
CVRWQCB,10396,04-030-36956,2013-02-21,Hydraulic Fracture,Oil,Presumed Oil,"42,000",Kern,Round Mountain,35.47742305,118.8794706,Macpherson Operating Company,,
CVRWQCB,10397,04-030-36958,2013-02-18,Hydraulic Fracture,Oil,Presumed Oil,"42,000",Kern,Round Mountain,35.47602303,118.8826765,Macpherson Operating Company,,
CVRWQCB,10398,04-030-37187,2013-02-19,Hydraulic Fracture,Oil,Presumed Oil,"42,000",Kern,Round Mountain,35.47312021,118.8782663,Macpherson Operating Company,,
