API,Basin,Cnty_Name,FieldName,AreaName,PoolName,First0fFirstProdthenInjDate,FirstProdDate,FirstInjDate,DOGGR_API,searched_DOGGR_API,frac_confirmed_DOGGR_API,frac_pack_DOGGR_API
04-001-20031,Livermore,Alameda,Livermore,Any Area,Greenville,7/1/03,,7/1/03,00120031,00120031,,
04-007-20097,Sacramento,Butte,Wild Goose Gas,Any Area,No Pool Breakdown,10/1/03,10/1/03,11/1/02,00720097,00720097,,
04-007-20098,Sacramento,Butte,Wild Goose Gas,Any Area,No Pool Breakdown,11/1/03,11/1/03,11/1/02,00720098,00720098,,
04-007-20099,Sacramento,Butte,Wild Goose Gas,Any Area,No Pool Breakdown,11/1/03,11/1/03,11/1/02,00720099,00720099,,
04-007-20100,Sacramento,Butte,Wild Goose Gas,Any Area,No Pool Breakdown,1/1/04,1/1/04,2/1/04,00720100,00720100,,
04-007-20101,Sacramento,Butte,Wild Goose Gas,Any Area,No Pool Breakdown,1/1/04,1/1/04,4/1/04,00720101,00720101,,
04-007-20102,Sacramento,Butte,Any Field,Any Area,Kione,1/1/06,,1/1/06,00720102,00720102,,
04-007-20103,Sacramento,Butte,Wild Goose Gas,Any Area,No Pool Breakdown,8/1/09,8/1/09,10/1/07,00720103,00720103,,
04-007-20105,Sacramento,Butte,Wild Goose Gas,Any Area,No Pool Breakdown,3/1/10,3/1/10,4/1/10,00720105,00720105,,
04-007-20106,Sacramento,Butte,Wild Goose Gas,Any Area,No Pool Breakdown,3/1/10,3/1/10,3/1/10,00720106,00720106,,
04-007-20107,Sacramento,Butte,Wild Goose Gas,Any Area,No Pool Breakdown,3/1/10,3/1/10,3/1/10,00720107,00720107,,
04-007-20108,Sacramento,Butte,Wild Goose Gas,Any Area,No Pool Breakdown,3/1/10,3/1/10,3/1/10,00720108,00720108,,
04-007-20109,Sacramento,Butte,Wild Goose Gas,Any Area,No Pool Breakdown,8/1/10,8/1/10,8/1/10,00720109,00720109,,
04-007-20110,Sacramento,Butte,Wild Goose Gas,Any Area,No Pool Breakdown,8/1/10,8/1/10,8/1/10,00720110,00720110,,
04-007-20111,Sacramento,Butte,Wild Goose Gas,Any Area,No Pool Breakdown,10/1/11,10/1/11,9/1/11,00720111,,,
04-007-20112,Sacramento,Butte,Wild Goose Gas,Any Area,No Pool Breakdown,10/1/11,10/1/11,9/1/11,00720112,,,
04-011-00130,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,3/1/07,3/1/07,,01100130,01100130,,
04-011-20582,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Upper Forbes,2/1/09,2/1/09,,01120582,01120582,,
04-011-20600,Sacramento,Colusa,Any Field,Any Area,No Pool Breakdown,11/1/11,11/1/11,,01120600,01120600,,
04-011-20665,Sacramento,Colusa,Lone Star Gas,Any Area,Forbes,8/1/02,8/1/02,,01120665,01120665,,
04-011-20666,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,2/1/02,2/1/02,,01120666,01120666,,
04-011-20667,Sacramento,Colusa,Kirk Gas,Any Area,Forbes,6/1/02,6/1/02,,01120667,01120667,,
04-011-20668,Sacramento,Colusa,Compton Landing Gas,Any Area,Forbes,11/1/02,11/1/02,,01120668,01120668,,
04-011-20670,Sacramento,Colusa,Compton Landing Gas,Any Area,Kione,12/1/02,12/1/02,,01120670,01120670,,
04-011-20671,Sacramento,Colusa,Lone Star Gas,Any Area,Forbes,8/1/02,8/1/02,,01120671,01120671,,
04-011-20672,Sacramento,Colusa,Any Field,Any Area,No Pool Breakdown,11/1/03,11/1/03,,01120672,01120672,,
04-011-20673,Sacramento,Colusa,Lone Star Gas,Any Area,Forbes,8/1/02,8/1/02,,01120673,01120673,,
04-011-20675,Sacramento,Colusa,Any Field,Any Area,No Pool Breakdown,11/1/02,11/1/02,,01120675,01120675,,
04-011-20676,Sacramento,Colusa,Arbuckle Gas,Any Area,Forbes,8/1/02,8/1/02,,01120676,01120676,,
04-011-20677,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,12/1/02,12/1/02,,01120677,01120677,,
04-011-20679,Sacramento,Colusa,Buckeye Gas,Any Area,Forbes,11/1/02,11/1/02,,01120679,01120679,,
04-011-20680,Sacramento,Colusa,Any Field,Any Area,No Pool Breakdown,11/1/02,11/1/02,,01120680,01120680,,
04-011-20681,Sacramento,Colusa,Kirk Gas,Any Area,Forbes,11/1/02,11/1/02,,01120681,01120681,,
04-011-20685,Sacramento,Colusa,Any Field,Any Area,No Pool Breakdown,3/1/03,3/1/03,,01120685,01120685,,
04-011-20689,Sacramento,Colusa,Princeton Gas,Townlot Area (ABD),Kione,10/1/03,10/1/03,,01120689,01120689,,
04-011-20690,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,8/1/03,8/1/03,,01120690,01120690,,
04-011-20694,Sacramento,Colusa,Arbuckle Gas,Any Area,Forbes,12/1/03,12/1/03,,01120694,01120694,,
04-011-20695,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,5/1/05,5/1/05,,01120695,01120695,,
04-011-20696,Sacramento,Colusa,Bounde Creek Gas,Any Area,No Pool Breakdown,6/1/04,6/1/04,,01120696,01120696,,
04-011-20697,Sacramento,Colusa,Bounde Creek Gas,Any Area,No Pool Breakdown,6/1/04,6/1/04,,01120697,01120697,,
04-011-20698,Sacramento,Colusa,Any Field,Any Area,No Pool Breakdown,7/1/04,7/1/04,,01120698,01120698,,
04-011-20699,Sacramento,Colusa,Arbuckle Gas,Any Area,Forbes,7/1/04,7/1/04,,01120699,01120699,,
04-011-20700,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,8/1/04,8/1/04,,01120700,01120700,,
04-011-20701,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,8/1/04,8/1/04,,01120701,01120701,,
04-011-20702,Sacramento,Colusa,Arbuckle Gas,Any Area,Forbes,7/1/04,7/1/04,,01120702,01120702,,
04-011-20704,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,10/1/04,10/1/04,,01120704,01120704,,
04-011-20705,Sacramento,Colusa,Buckeye Gas,Any Area,Forbes,11/1/04,11/1/04,,01120705,01120705,,
04-011-20708,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,11/1/04,11/1/04,,01120708,01120708,,
04-011-20710,Sacramento,Colusa,Any Field,Any Area,No Pool Breakdown,3/1/05,3/1/05,,01120710,01120710,,
04-011-20711,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,5/1/05,5/1/05,,01120711,01120711,,
04-011-20712,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,5/1/05,5/1/05,,01120712,01120712,,
04-011-20714,Sacramento,Colusa,Any Field,Any Area,No Pool Breakdown,4/1/06,4/1/06,,01120714,01120714,,
04-011-20715,Sacramento,Colusa,Kirk Gas,Any Area,Forbes,11/1/05,11/1/05,,01120715,01120715,,
04-011-20716,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,9/1/05,9/1/05,,01120716,01120716,,
04-011-20717,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,9/1/05,9/1/05,,01120717,01120717,,
04-011-20718,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,11/1/05,11/1/05,,01120718,01120718,,
04-011-20719,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,11/1/05,11/1/05,,01120719,01120719,,
04-011-20721,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,10/1/05,10/1/05,,01120721,01120721,,
04-011-20722,Sacramento,Colusa,Buckeye Gas,Any Area,Forbes,1/1/06,1/1/06,,01120722,01120722,,
04-011-20723,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,1/1/06,1/1/06,,01120723,01120723,,
04-011-20724,Sacramento,Colusa,Any Field,Any Area,No Pool Breakdown,1/1/06,1/1/06,,01120724,01120724,,
04-011-20727,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,7/1/06,7/1/06,,01120727,01120727,,
04-011-20728,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,3/1/06,3/1/06,,01120728,01120728,,
04-011-20729,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,1/1/06,1/1/06,,01120729,01120729,,
04-011-20732,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,5/1/06,5/1/06,,01120732,01120732,,
04-011-20733,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,6/1/06,6/1/06,,01120733,01120733,,
04-011-20734,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,6/1/06,6/1/06,,01120734,01120734,,
04-011-20735,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,6/1/06,6/1/06,,01120735,01120735,,
04-011-20736,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,11/1/06,11/1/06,,01120736,01120736,,
04-011-20737,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,6/1/06,6/1/06,,01120737,01120737,,
04-011-20738,Sacramento,Colusa,Moon Bend Gas,Any Area,No Pool Breakdown,6/1/06,6/1/06,,01120738,01120738,,
04-011-20739,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,6/1/06,6/1/06,,01120739,01120739,,
04-011-20740,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,7/1/06,7/1/06,,01120740,01120740,,
04-011-20741,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,8/1/06,8/1/06,,01120741,01120741,01120741,
04-011-20742,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,9/1/06,9/1/06,,01120742,01120742,,
04-011-20743,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,7/1/06,7/1/06,,01120743,01120743,,
04-011-20744,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,9/1/06,9/1/06,,01120744,01120744,,
04-011-20746,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,10/1/06,10/1/06,,01120746,01120746,,
04-011-20752,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,4/1/07,4/1/07,,01120752,01120752,,
04-011-20753,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,4/1/07,4/1/07,,01120753,01120753,,
04-011-20754,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,2/1/07,2/1/07,,01120754,01120754,,
04-011-20755,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,4/1/07,4/1/07,,01120755,01120755,,
04-011-20756,Sacramento,Colusa,Lone Star Gas,Any Area,Forbes,12/1/06,12/1/06,,01120756,01120756,,
04-011-20757,Sacramento,Colusa,Lone Star Gas,Any Area,Forbes,12/1/06,12/1/06,,01120757,01120757,,
04-011-20758,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,2/1/07,2/1/07,,01120758,01120758,,
04-011-20759,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,2/1/07,2/1/07,,01120759,01120759,,
04-011-20760,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,3/1/07,3/1/07,,01120760,01120760,,
