API#,Operator,Operator ID,WellType,WellName,WellNumber,OrderNumbers,Approval Date,County,Sec,Twp,Rng,Q4,Q3,Q2,Q1,LAT,LONG,PSI,BBLS,ZONE
3500300026.0,PHOENIX PETROCORP INC,19499.0,2R,SE EUREKA UNIT-TUCKER #1,21,133856.0,28374.0,ALFALFA,13.0,28N,10W,,C,SE,SE,36.900324,-98.21826,2500.0,300.0,CHEROKEE
3500300163.0,CHAMPLIN EXPLORATION INC,4030.0,2R,CHRISTENSEN,1,470258.0,37587.0,ALFALFA,21.0,28N,09W,,C,NW,NW,36.896636,-98.17772,2400.0,1000.0,RED FORK
3500320786.0,LINN OPERATING INC,22182.0,2R,NE CHEROKEE UNIT,85,329426.0,32374.0,ALFALFA,24.0,27N,11W,,,SE,NE,36.806113,-98.32584,1050.0,1000.0,RED FORK
3500321074.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2R,VELMA,2-19,281652.0,31239.0,ALFALFA,19.0,28N,10W,SW,NE,NE,SW,36.888589,-98.31853,3152.0,1000.0,RED FORK
3500321107.0,CHAMPLIN EXPLORATION INC,4030.0,2R,GRAY,1A,470257.0,37587.0,ALFALFA,20.0,28N,09W,,SE,SW,NW,36.892128,-98.19462,1000.0,2400.0,RED FORK
3500321242.0,PARADIGM PETROLEUM CORPORATION,22867.0,2R,NORTH CARMEN RED FORK UNIT,8,405305.0,35325.0,ALFALFA,3.0,24N,12W,,,NE,NE,36.591824,-98.46356,750.0,2000.0,RED FORK
3500321328.0,PRIDE ENERGY COMPANY,19430.0,2D,LESLIE,A-1,1006450004.0,40304.0,ALFALFA,5.0,25N,12W,S2,S2,SE,NW,36.674104,-98.51565,1280.0,2000.0,PERMIAN
3500321342.0,ZEIDERS BROS OIL & GAS CO LLC,22680.0,2D,USF&G FELLERS,1A-36,348157.0,33049.0,ALFALFA,36.0,28N,11W,,NE,SW,SE,36.857775,-98.32979,0.0,1000.0,MISSISSIPPI
3500321364.0,MARJO OPERATING MID-CONTINENT LLC,23610.0,2R,BURCHFIEL,15-3,433693.0,36355.0,ALFALFA,15.0,27N,09W,NE,SE,SW,NE,36.819572,-98.14953,1500.0,1800.0,MISENER
3500321404.0,PARADIGM PETROLEUM CORPORATION,22867.0,2R,NORTH CARMEN RED FORK UNIT,1,423456.0,35942.0,ALFALFA,34.0,25N,12W, ,NE,SW,SW,36.59666,-98.48296,3500.0,750.0,RED FORK (CHEROKEE)
3500321455.0,KIESTER OPERATING COMPANY,6999.0,2R,MEANS 'C',1,521622.0,38789.0,ALFALFA,24.0,25N,12W,,,C,SE,36.626608,-98.43679,500.0,1200.0,RED FORK
3500321496.0,KIESTER OPERATING COMPANY,6999.0,2R,LSB MCCRADY 4,4,521370.0,38784.0,ALFALFA,18.0,25N,11W,C,SW,SE,NW,36.645656,-98.42664,500.0,1200.0,RED FORK
3500321537.0,C & D SUPPLY,18385.0,2D,REITZ,1,383569.0,34477.0,ALFALFA,10.0,27N,11W,,,SE,NE,36.835111,-98.36245,1000.0,300.0,MISSISSIPPI
3500321553.0,UNIT PETROLEUM COMPANY,16711.0,2R,DORTHY,1,385383.0,34556.0,ALFALFA,17.0,27N,10W,W2,NE,NE,NW,36.825141,-98.29881,1250.0,4500.0,MISENER
3500321561.0,UNIT PETROLEUM COMPANY,16711.0,2R,MIKE UT#38449,1-8,385384.0,34556.0,ALFALFA,8.0,27N,10W,,C,SW,SE,36.82786,-98.29486,1250.0,4500.0,MISENER
3500321647.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2R,TULLIS,2-26,429951.0,36193.0,ALFALFA,26.0,28N,11W,E2,W2,SE,SW,36.871368,-98.35402,2500.0,1500.0,RED FORK
3500321748.0,SAND CREEK OPERATING LLC,23210.0,CDW,KRAFT,1,1401960007.0,41584.0,ALFALFA,13.0,28N,12W,SW,NE,SW,SW,36.901215,-98.446798,500.0,20000.0,ARBUCKLE
3500321802.0,LINN OPERATING INC,22182.0,2R,NECU,16A,1007540008.0,40367.0,ALFALFA,21.0,27N,10W,S2,NE,NW,SW,36.802928,-98.28472,1500.0,2500.0,PENN BASAL CHEROKEE
3500321822.0,NEILSON INC,21475.0,CDW,BETTY JO,2,540384.0,39241.0,ALFALFA,30.0,27N,12W,N2,S2,N2,SW,36.787367,-98.53594,1500.0,3000.0,TONKAWA
3500321832.0,ATCHLEY RESOURCES INC,20266.0,2D,MILAN,2-32,1204110191.0,41001.0,ALFALFA,32.0,28N,10W,SW,NW,SE,NW,36.864566,-98.30107,500.0,100.0,COTTAGE GROVE
3500321840.0,MIDSTATES PETROLEUM COMPANY LLC,23079.0,2D,ALFALFA,1,527050.0,38911.0,ALFALFA,28.0,25N,09W,,NE,NE,NW,36.621781,-98.172853,1500.0,50000.0,"1ST AND 2ND WILCOX, ARBUCKLE"
3500321848.0,CHESAPEAKE OPERATING LLC,17441.0,2D,HDW,1-2,536661.0,39154.0,ALFALFA,2.0,24N,09W,NW,NW,NW,NW,36.592329,-98.13752,1500.0,50000.0,ARBUCKLE
3500321877.0,MIDSTATES PETROLEUM COMPANY LLC,23079.0,2D,SE BRADLEY A UNIT M,13.0,1609310123.0,42557.0,ALFALFA,30.0,26N,12W,E2,E2,W2,SE,36.6999999,-98.52748,2500.0,19900.0,HUNTON
3500321880.0,MIDSTATES PETROLEUM COMPANY LLC,23079.0,2D,LEAMON,1.0,1609310122.0,42557.0,ALFALFA,29.0,26N,12W,SW,SE,SW,NW,36.703106,-98.51959,2500.0,19900.0,HUNTON
3500321897.0,CHESAPEAKE OPERATING LLC,17441.0,2D,GIDEON,1-32,556249.0,39632.0,ALFALFA,32.0,26N,09W,NE,SW,NE,NE,36.693246,-98.184626,1500.0,50000.0,ARBUCKLE
3500321916.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,LILY SWD,1-27,1102650003.0,40497.0,ALFALFA,27.0,29N,10W,W2,W2,NE,NE,36.969509,-98.259103,2000.0,60000.0,ARBUCKLE
3500321931.0,CHESAPEAKE OPERATING LLC,17441.0,2D,DUTCH HARBOR SWD,1-14,1607050002.0,42478.0,ALFALFA,14.0,25N,12W,SE,SE,SE,SE,36.638051,-98.451166,2500.0,19500.0,SIMPSON
3500321961.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,BAILAR SWD,1-35,1103600047.0,40556.0,ALFALFA,35.0,29N,12W,,C,SE,SE,36.94258,-98.47106,2000.0,100000.0,ARBUCKLE
3500321976.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,RISITA SWD,1-27,1102650002.0,40500.0,ALFALFA,27.0,29N,09W,SE,SW,SW,SW,36.957094,-98.147748,2000.0,60000.0,ARBUCKLE
3500321983.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,DORADO SWD,1-32,1102310016.0,40499.0,ALFALFA,32.0,29N,09W,NW,NW,NW,NW,36.9562,-98.2006,2000.0,100000.0,ARBUCKLE
3500321994.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,FIERO SWD,1-23,1103390003.0,40623.0,ALFALFA,23.0,29N,09W,NE,NE,NW,NE,36.9849,-98.1344,2000.0,60000.0,ARBUCKLE
3500321995.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,TIBURON SWD,1-1,1103390002.0,40533.0,ALFALFA,1.0,28N,09W,SW,SW,SW,SE,36.92792,-98.11822,2000.0,100000.0,ARBUCKLE
3500322002.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,TIBURON SWD,2-1,1103700007.0,40626.0,ALFALFA,1.0,28N,09W,SW,SW,SW,SE,36.9281,-98.1181,2000.0,60000.0,ARBUCKLE-PLUGGED OFF
3500322006.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,GATILLO SWD,1-34,1103930063.0,40581.0,ALFALFA,34.0,29N,11W,NE,NE,NW,NW,36.95625,-98.37841,2000.0,100000.0,ARBUCKLE
3500322019.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,AQUARIUS SWD,1-22,1104340184.0,40612.0,ALFALFA,22.0,29N,11W,SE,NE,NE,NE,36.984541,-98.364877,2000.0,60000.0,ARBUCKLE
3500322020.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,ROSE KELLY SWD,1-3,1104340183.0,40599.0,ALFALFA,3.0,28N,10W,SW,SW,SE,SE,36.928442,-98.256115,2000.0,100000.0,ARBUCKLE
3500322023.0,CHESAPEAKE OPERATING LLC,17441.0,2D,AMAZON SWD,1-25,1105070125.0,40637.0,ALFALFA,25.0,29N,10W,NE,NW,NW,NW,36.9706918,-98.2357193,2000.0,80000.0,ARBUCKLE
3500322024.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,CLAUDE SWD,1-13,1104920073.0,40616.0,ALFALFA,13.0,29N,11W,SE,SE,SE,SE,36.986482,-98.3286487,2000.0,60000.0,ARBUCKLE
3500322026.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,BETTY ELLEN SWD,1-20,1104920074.0,40627.0,ALFALFA,20.0,29N,09W,SW,SW,SW,SW,36.972,-98.2009,2000.0,100000.0,ARBUCKLE
3500322027.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,CALLIE SWD,1-7,1105200172.0,40625.0,ALFALFA,7.0,28N,12W,NW,NE,NE,NW,36.927167,-98.532828,2000.0,60000.0,ARBUCKLE
3500322028.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,ROXY SWD,1-30,1105200171.0,40658.0,ALFALFA,30.0,29N,10W,SE,SE,SW,SE,36.9576,-98.3157,2000.0,80000.0,ARBUCKLE
3500322039.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,ALLISON SWD,1-22,1106760087.0,40686.0,ALFALFA,22.0,29N,12W,SE,SW,SW,SW,36.9789,-98.008,2000.0,60000.0,ARBUCKLE
3500322046.0,CHESAPEAKE OPERATING LLC,17441.0,2D,NILE 14-28-12 SWD,1,1501400030.0,41927.0,ALFALFA,14.0,28N,12W,NE,NW,NE,NE,36.91245,-98.45291,2000.0,80000.0,ARBUCKLE
3500322066.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,OWEN SWD,1-13,1107040025.0,40745.0,ALFALFA,13.0,24N,10W,SW,SW,SE,SE,36.5506,-98.2171,2000.0,60000.0,ARBUCKLE
3500322102.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,CARA SWD,1-31,1200530049.0,40795.0,ALFALFA,31.0,24N,10W,SW,SE,SE,SE,36.50687,-98.3036,2000.0,60000.0,ARBUCKLE
3500322108.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,BAILEY SWD,1-1,1200530050.0,40826.0,ALFALFA,1.0,28N,10W,SE,NE,NE,SE,36.9322,-98.2179,2000.0,60000.0,ARBUCKLE
3500322117.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,SHARON SWD,1-22,1201350098.0,40849.0,ALFALFA,22.0,29N,10W,NE,NW,NW,NE,36.9852,-98.2628,2000.0,60000.0,ARBUCKLE
3500322133.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,FIERO SWD,2-23,1202040019.0,40849.0,ALFALFA,23.0,29N,09W,NW,NW,NE,NE,36.9849,-98.1333,2000.0,60000.0,ARBUCKLE
3500322144.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,JUDY SWD,1-12,1202380140.0,40856.0,ALFALFA,12.0,28N,11W,NE,SE,SE,NE,36.92142,-98.32489,2000.0,60000.0,ARBUCKLE
3500322152.0,CHESAPEAKE OPERATING LLC,17441.0,2D,MISSISSIPPI 14-26-12 SWD,1,1703190017.0,42706.0,ALFALFA,14.0,26N,12W,SW,SW,NW,SW,36.728888,-98.467545,2500.0,19500.0,SIMPSON
3500322157.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,SHARON SWD,2-22,1202610136.0,40879.0,ALFALFA,22.0,29N,10W,SE,NW,NW,NE,36.98483,-98.262853,2000.0,60000.0,ARBUCKLE
3500322158.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,ROBYN SWD,1-14,1202750065.0,40892.0,ALFALFA,14.0,28N,09W,SW,SW,SE,SE,36.8989,-98.1313,2000.0,60000.0,ARBUCKLE
3500322163.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,PRESLEY SWD,1-27,1608700032.0,42564.0,ALFALFA,27.0,27N,11W,SE,SW,SW,SE,36.783377,-98.367034,2000.0,15000.0,"COTTAGE GROVE, TONKAWA "
3500322165.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,DOTTY SWD,2-27,1203000025.0,40906.0,ALFALFA,27.0,29N,10W,SW,NE,SE,SE,36.9588,-98.2575,2000.0,60000.0,ARBUCKLE
3500322177.0,TRIAD ENERGY INC,10399.0,2D,WILLIAMS SWD,1-6,1202430030.0,40884.0,ALFALFA,6.0,28N,10W,NW,NE,NE,NE,36.9417,-98.3088,2000.0,60000.0,ARBUCKLE
3500322183.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,CRICKET SWD,1-21,1203700057.0,41025.0,ALFALFA,21.0,28N,09W,SE,SE,NE,NE,36.895,-98.1643,2000.0,80000.0,ARBUCKLE
3500322186.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,JUDY SWD,2-12,1203700052.0,40941.0,ALFALFA,12.0,28N,11W,NW,SE,SE,NE,36.9219,-98.3248,2000.0,60000.0,ARBUCKLE
3500322193.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,ROSE KELLY SWD,2-3,1203950057.0,41036.0,ALFALFA,3.0,28N,10W,SW,SW,SE,SE,36.928439,-98.2566285,2000.0,60000.0,ARBUCKLE
3500322212.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,ASHLEY SWD,2-36,1204560024.0,40989.0,ALFALFA,36.0,28N,10W,SW,NE,NW,NW,36.8684329,-98.2312016,2000.0,60000.0,ARBUCKLE
3500322228.0,NEILSON INC,21475.0,CDW,BONNIE JEAN SWD,1-22,1706400022.0,42839.0,ALFALFA,22.0,27N,09W,SE,SW,SW,SE,36.7974504,-98.1532071,2000.0,10000.0,LAYTON
3500322229.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,SIDNEY SWD,1-3,1204930046.0,41078.0,ALFALFA,3.0,28N,09W,SW,SW,SW,SW,36.9280637,-98.1622758,2000.0,80000.0,ARBUCKLE
3500322246.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,GATILLO SWD,2-34,1205760006.0,41019.0,ALFALFA,34.0,29N,11W,NW,NW,NE,NW,36.9562376,-98.3773226,2000.0,60000.0,ARBUCKLE
3500322247.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,PRESLEY SWD,2-27,1205760007.0,41036.0,ALFALFA,27.0,27N,11W,NE,SW,SW,SE,36.7837893,-98.3670395,2000.0,60000.0,ARBUCKLE
3500322286.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,BETTY ELLEN SWD 2909,2-20,1206950034.0,41078.0,ALFALFA,20.0,29N,09W,SE,SW,SW,SW,36.9719144,-98.2000157,2000.0,60000.0,ARBUCKLE
3500322302.0,CHESAPEAKE OPERATING LLC,17441.0,2D,TIGRIS 24-24-11 SWD,1,1207420116.0,41149.0,ALFALFA,24.0,24N,11W,NE,SE,NE,NE,36.5478299,-98.319515,1500.0,50000.0,ARBUCKLE
3500322308.0,EAGLE EXPLORATION PRODUCTION LLC,23413.0,CDW,REITZ,1 SWD,1206780080.0,41128.0,ALFALFA,10.0,27N,11W,NW,NE,NE,NE,36.8401458,-98.8401458,2000.0,65000.0,ARBUCKLE
3500322316.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,GRISWOLD SWD 2811,1-25,1207900010.0,41201.0,ALFALFA,25.0,28N,11W,NE,NW,NE,NE,36.8837588,-98.3266665,2000.0,80000.0,ARBUCKLE
3500322317.0,CHESAPEAKE OPERATING LLC,17441.0,2D,EUPHRATES 11-27-12 SWD,1,1207840023.0,41160.0,ALFALFA,11.0,27N,12W,NW,NW,NW,NW,36.8399518,-98.4666519,1500.0,80000.0,ARBUCKLE
3500322318.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,POPPINS SWD 2810,2-21,1207900012.0,41100.0,ALFALFA,21.0,28N,10W,NW,SE,SE,SE,36.8853283,-98.2722998,2000.0,80000.0,ARBUCKLE
3500322345.0,CHAPARRAL ENERGY LLC,16896.0,2D,WESSEL SWD,1,1302580029.0,41222.0,ALFALFA,1.0,26N,12W,NE,NE,NW,NW,36.76738742,-98.44635852,3000.0,45000.0,ARBUCKLE
3500322349.0,CHESAPEAKE OPERATING LLC,17441.0,2D,RIO GRANDE 16-27-12 SWD,1,1300030055.0,41222.0,ALFALFA,16.0,27N,12W,SE,SE,SE,SE,36.8124774,-98.48648934,1500.0,80000.0,ARBUCKLE
3500322355.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,DUSTIN SWD 2709,1-6,1300460052.0,41143.0,ALFALFA,6.0,27N,09W,SW,SW,SW,SW,36.84139034,-98.21583931,2000.0,60000.0,ARBUCKLE
3500322370.0,D & J OIL COMPANY INC,17713.0,2D,MYERS,1-34 SWD,1303920175.0,41325.0,ALFALFA,34.0,27N,09W,N2,NE,NW,NW,36.78140517,-98.1612485,2800.0,25000.0,ARBUCKLE
3500322386.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,MILLIE SWD 2810,1-9,1301390064.0,41211.0,ALFALFA,9.0,28N,10W,SE,SW,SE,SW,36.91363103,-98.28293433,2000.0,60000.0,ARBUCKLE
3500322390.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,LIZZIE SWD 2711,1-33,1301650032.0,41192.0,ALFALFA,33.0,27N,11W,NE,SE,SE,SE,36.76901637,-98.37887712,2000.0,60000.0,ARBUCKLE
3500322409.0,CHESAPEAKE OPERATING LLC,17441.0,2D,THAMES 33-28-9 SWD,1,1702030040.0,42647.0,ALFALFA,33.0,28N,09W,SE,SW,SW,SW,36.85551533,-98.17947525,2500.0,19500.0,SIMPSON
3500322418.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,ROSE SWD 2810,1-26,1302360125.0,41222.0,ALFALFA,26.0,28N,10W,SW,NE,SE,NE,36.87908673,-98.23585211,2000.0,60000.0,ARBUCKLE
3500322426.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,LAUREN SWD 2609,1-3,1302610092.0,41284.0,ALFALFA,3.0,26N,09W,NW,NE,NE,NE,36.7667933,-98.14795171,2000.0,60000.0,ARBUCKLE
3500322476.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,MARLEY SWD 2511,1-25,1303650019.0,41326.0,ALFALFA,25.0,25N,11W,SE,SE,SW,SW,36.60926384,-98.33852223,2000.0,60000.0,ARBUCKLE
3500322489.0,MIDSTATES PETROLEUM COMPANY LLC,23079.0,2D,MURROW SWD,1-10,1305640011.0,41414.0,ALFALFA,10.0,26N,12W,C,SW,SW,SW,36.73999647,-98.48470453,2000.0,40000.0,ARBUCKLE
3500322504.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,BAKER SWD 2810,1-20,1304080062.0,41337.0,ALFALFA,20.0,28N,10W,,NE,SE,NE,36.8949285,-98.2899088,2000.0,80000.0,ARBUCKLE
3500322521.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,CLARK W SWD 2811,1-27,1304370154.0,41360.0,ALFALFA,27.0,28N,11W,,SW,SE,SW,36.87102003,-98.37164366,2000.0,80000.0,ARBUCKLE
3500322523.0,CHESAPEAKE OPERATING LLC,17441.0,2D,CLAY 7-25-10 SWD,1,1304190110.0,41400.0,ALFALFA,7.0,25N,10W,SE,SW,SW,SW,36.65266318,-98.3231877,1500.0,80000.0,ARBUCKLE
3500322524.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,ROSE SWD 2810,2-26,1304370153.0,41387.0,ALFALFA,26.0,28N,10W,,NE,SE,NE,36.87867466,-98.23585037,2000.0,80000.0,ARBUCKLE
3500322540.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,DIAMONDBACK SWD 2710,1-5,1304690095.0,41428.0,ALFALFA,5.0,27N,10W,,NE,NE,NE,36.85429598,-98.28994602,2000.0,80000.0,ARBUCKLE
3500322548.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,COTTONWOOD SWD 2411,1-19,1304800029.0,41389.0,ALFALFA,19.0,24N,11W,S2,SE,SE,SW,36.53631299,-98.41817875,2000.0,60000.0,ARBUCKLE
3500322551.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281.0,2D,FIONA SWD 2610,1-5,1304910040.0,41444.0,ALFALFA,5.0,16N,10W,SE,NE,NE,NW,36.76675495,-98.29877574,2000.0,60000.0,ARBUCKLE
