Grid,P.value,P.value.lower.bound,P.value.upper.bound,Longitude,Latitude
358,0.282,0.273,0.291,-124.2,40.6
572,0.765,0.757,0.773,-122.2,39.8
623,0.237,0.229,0.246,-122.2,39.6
624,1.000,1.000,1.000,-122,39.6
676,1.000,1.000,1.000,-121.8,39.4
726,0.137,0.130,0.143,-122,39.2
777,1.000,1.000,1.000,-122,39
778,1.000,1.000,1.000,-121.8,39
880,1.000,1.000,1.000,-121.8,38.6
931,1.000,1.000,1.000,-121.8,38.4
982,0.559,0.549,0.569,-121.8,38.2
1033,0.104,0.098,0.110,-121.8,38
1086,0.694,0.685,0.703,-121.4,37.8
1087,1.000,1.000,1.000,-121.2,37.8
1136,0.700,0.691,0.709,-121.6,37.6
1235,1.000,1.000,1.000,-122.2,37.2
1289,1.000,1.000,1.000,-121.6,37
1347,0.200,0.192,0.208,-120.2,36.8
1398,0.685,0.676,0.694,-120.2,36.6
1446,0.153,0.146,0.160,-120.8,36.4
1448,0.468,0.458,0.478,-120.4,36.4
1449,0.186,0.178,0.193,-120.2,36.4
1450,0.101,0.095,0.107,-120,36.4
1451,0.584,0.574,0.593,-119.8,36.4
1495,1.000,1.000,1.000,-121.2,36.2
1499,0.000,0.000,0.000,-120.4,36.2
1500,1.000,1.000,1.000,-120.2,36.2
1501,0.696,0.687,0.705,-120,36.2
1547,1.000,1.000,1.000,-121,36
1548,1.000,1.000,1.000,-120.8,36
1550,0.742,0.733,0.751,-120.4,36
1551,0.001,0.000,0.002,-120.2,36
1552,0.809,0.801,0.817,-120,36
1553,1.000,1.000,1.000,-119.8,36
1603,0.491,0.481,0.501,-120,35.8
1604,0.048,0.044,0.053,-119.8,35.8
1605,0.521,0.511,0.530,-119.6,35.8
1608,0.874,0.867,0.880,-119,35.8
1654,0.828,0.820,0.835,-120,35.6
1655,0.912,0.906,0.917,-119.8,35.6
1656,1.000,1.000,1.000,-119.6,35.6
1657,0.179,0.171,0.186,-119.4,35.6
1658,1.000,1.000,1.000,-119.2,35.6
1659,0.864,0.857,0.870,-119,35.6
1660,0.477,0.468,0.487,-118.8,35.6
1706,0.714,0.705,0.723,-119.8,35.4
1707,0.878,0.871,0.884,-119.6,35.4
1708,0.329,0.319,0.338,-119.4,35.4
1709,0.142,0.135,0.148,-119.2,35.4
1710,0.240,0.232,0.249,-119,35.4
1711,1.000,1.000,1.000,-118.8,35.4
1753,0.130,0.123,0.137,-120.6,35.2
1758,0.004,0.003,0.005,-119.6,35.2
1759,1.000,1.000,1.000,-119.4,35.2
1760,0.668,0.659,0.677,-119.2,35.2
1761,1.000,1.000,1.000,-119,35.2
1762,0.271,0.263,0.280,-118.8,35.2
1804,0.572,0.562,0.581,-120.6,35
1805,0.000,0.000,0.000,-120.4,35
1810,0.680,0.671,0.689,-119.4,35
1811,0.481,0.472,0.491,-119.2,35
1812,1.000,1.000,1.000,-119,35
1813,0.717,0.708,0.726,-118.8,35
1855,0.390,0.381,0.400,-120.6,34.8
1856,0.109,0.103,0.115,-120.4,34.8
1857,0.002,0.001,0.003,-120.2,34.8
1908,1.000,1.000,1.000,-120.2,34.6
1915,0.162,0.155,0.170,-118.8,34.6
1962,1.000,1.000,1.000,-119.6,34.4
1963,0.119,0.113,0.125,-119.4,34.4
1964,0.231,0.223,0.239,-119.2,34.4
1965,0.575,0.566,0.585,-119,34.4
1966,1.000,1.000,1.000,-118.8,34.4
1967,1.000,1.000,1.000,-118.6,34.4
1968,0.187,0.179,0.195,-118.4,34.4
2015,0.851,0.844,0.858,-119.2,34.2
2017,0.715,0.706,0.724,-118.8,34.2
2019,0.036,0.032,0.039,-118.4,34.2
2070,0.828,0.821,0.835,-118.4,34
2071,0.000,0.000,0.000,-118.2,34
2072,0.719,0.710,0.728,-118,34
2073,0.455,0.446,0.465,-117.8,34
2121,1.000,1.000,1.000,-118.4,33.8
2122,0.037,0.034,0.041,-118.2,33.8
2123,0.024,0.021,0.027,-118,33.8
2125,0.124,0.117,0.130,-117.6,33.8
2174,1.000,1.000,1.000,-118,33.6
