"Grid","P.value","P.value.lower.bound","P.value.upper.bound","Longitude","Latitude"
25,0.112,0.105882569568,0.118344396409,-98.2,37
26,1,0.999631180085,1,-98,37
27,1,0.999631180085,1,-97.8,37
28,1,0.999631180085,1,-97.6,37
29,1,0.999631180085,1,-97.4,37
66,0.7301,0.721283391244,0.738782419319,-98.8,36.8
67,0.1117,0.105589897342,0.118037246928,-98.6,36.8
68,0.102,0.0961347281755,0.108098190377,-98.4,36.8
69,0.6029,0.593231118299,0.612508914482,-98.2,36.8
70,0.3871,0.377537308446,0.396728488532,-98,36.8
71,0.2188,0.210729661173,0.227034419582,-97.8,36.8
72,0.4669,0.45708251594,0.47673677127,-97.6,36.8
73,0.028,0.0248546528245,0.0314240866551,-97.4,36.8
110,0.6147,0.605079230676,0.624253922929,-98.8,36.6
111,0.9847,0.982098061353,0.987013762327,-98.6,36.6
112,0.0131,0.0109641384822,0.0155259471922,-98.4,36.6
113,0.2854,0.276562232854,0.29436290127,-98.2,36.6
114,0.0014,0.000765597731179,0.00234784756391,-98,36.6
115,0.7946,0.786546604199,0.802481463726,-97.8,36.6
116,0.8845,0.878073217987,0.890701894944,-97.6,36.6
117,0.3228,0.313638936079,0.332064363901,-97.4,36.6
118,0.1913,0.183631717785,0.199148483539,-97.2,36.6
119,0.9635,0.959636934824,0.967089996108,-97,36.6
152,0.0128,0.0106895686091,0.0152007896002,-99.2,36.4
153,1,0.999631180085,1,-99,36.4
154,0.988,0.985667831009,0.990041066568,-98.8,36.4
155,0.4845,0.474660605189,0.494348426482,-98.6,36.4
156,0.4329,0.423159555184,0.442679545473,-98.4,36.4
157,0.6136,0.603974497044,0.623159297874,-98.2,36.4
158,0.8887,0.882372307646,0.894800310335,-98,36.4
159,0.9672,0.963520181385,0.970604315868,-97.8,36.4
160,0.895,0.888826192441,0.900942676939,-97.6,36.4
161,0.8319,0.824424227748,0.8391819431,-97.4,36.4
162,0.7315,0.72269725663,0.740167735814,-97.2,36.4
163,0.5381,0.528268765496,0.547909033712,-97,36.4
164,0.003,0.00202497481587,0.00427993908705,-96.8,36.4
165,0.1252,0.118773413937,0.13184572188,-96.6,36.4
198,0.7505,0.741896571638,0.758957313686,-98.8,36.2
199,1,0.999631180085,1,-98.6,36.2
200,0.4223,0.412593041724,0.432052236746,-98.4,36.2
201,0.0317,0.028353095684,0.0353231398931,-98.2,36.2
203,0.8036,0.795675619712,0.811347170978,-97.8,36.2
204,0.0393,0.0355763513804,0.0432949028414,-97.6,36.2
205,0.1391,0.132373342854,0.14603757352,-97.4,36.2
206,0.7563,0.747761689578,0.764688803495,-97.2,36.2
207,0.8485,0.841321465523,0.855474933033,-97,36.2
208,0.456,0.446202209134,0.465823429744,-96.8,36.2
209,0.0019,0.0011442996353,0.00296550214827,-96.6,36.2
248,0.3713,0.361819007156,0.380856002093,-97.6,36
249,0.393,0.383409527934,0.402652829418,-97.4,36
250,0.0179,0.0153924597712,0.0206936133947,-97.2,36
251,1,0.999631180085,1,-97,36
252,0.002,0.00122206662132,0.00308715598922,-96.8,36
292,0.3642,0.354759235051,0.373719914453,-97.6,35.8
293,0.2656,0.256963031585,0.274373670771,-97.4,35.8
294,0.0091,0.00733289992826,0.0111611865298,-97.2,35.8
295,0.0021,0.00130038847422,0.00320829114524,-97,35.8
296,0.2296,0.221386539279,0.237971218039,-96.8,35.8
297,1,0.999631180085,1,-96.6,35.8
333,0.012,0.00995893343186,0.0143321689906,-98.2,35.6
337,0.9382,0.933301553615,0.942841281076,-97.4,35.6
338,0.1961,0.188357412681,0.204019972596,-97.2,35.6
339,0.1223,0.115939196129,0.12888165766,-97,35.6
340,0.8988,0.89272224003,0.904644364295,-96.8,35.6
381,0.9119,0.906173982273,0.917384785665,-97.4,35.4
382,0.4297,0.419969185601,0.439471780014,-97.2,35.4
383,0.1491,0.142171790588,0.156233225532,-97,35.4
384,0.7737,0.765369748718,0.781870562194,-96.8,35.4
385,0.9448,0.940142863911,0.94919590307,-96.6,35.4
386,0.1626,0.155416756303,0.169980308395,-96.4,35.4
431,0.0144,0.0121572907192,0.0169316494672,-96.2,35.2
467,0.8751,0.868460852201,0.881519834316,-97.8,35
468,0.5233,0.513455235802,0.533131187501,-97.6,35
474,0.892,0.885752104545,0.89801855086,-96.4,35
476,0.8704,0.863659235485,0.876924233093,-96,35
511,0.6503,0.640860701099,0.659651692711,-97.8,34.8
556,0.0104,0.00850523700699,0.0125874458474,-97.6,34.6
563,0.0171,0.0146504116393,0.0198362944169,-96.2,34.6
606,0.265,0.256369456804,0.273767596221,-96.4,34.4
648,1,0.999631180085,1,-96.8,34.2
649,0.4137,0.404023564743,0.423426726233,-96.6,34.2
689,0.0171,0.0146504116393,0.0198362944169,-97.4,34
690,0.1622,0.15502404809,0.169573252004,-97.2,34
693,0.2495,0.241042686314,0.258103428362,-96.6,34
