Grid,P-value,P-value lower bound,P-value upper bound
358,0.282,0.27319519231,0.290931927775
572,0.765,0.756563286942,0.773282116119
623,0.2371,0.228791693242,0.245561674886
624,1.0,0.999631180085,1
676,1.0,0.999631180085,1
726,0.1365,0.129827642009,0.143384810094
777,1.0,0.999631180085,1
778,1.0,0.999631180085,1
880,1.0,0.999631180085,1
931,1.0,0.999631180085,1
982,0.559,0.549202638835,0.56876298104
1033,0.1042,0.0982778123043,0.110353794905
1086,0.694,0.684862355126,0.703024539438
1087,1.0,0.999631180085,1
1136,0.6999,0.690810177298,0.708873272801
1235,1.0,0.999631180085,1
1289,1.0,0.999631180085,1
1347,0.1997,0.19190287028,0.207672403644
1398,0.685,0.675792752709,0.694099395218
1446,0.1528,0.145800014791,0.160002820577
1448,0.4677,0.45788125546,0.47753756558
1449,0.1855,0.17792398371,0.193259621814
1450,0.1011,0.0952582571595,0.107175198166
1451,0.5837,0.573965242676,0.593385981789
1495,1.0,0.999631180085,1
1499,1e-05,0,0.000368819914619
1500,1.0,0.999631180085,1
1501,0.696,0.686878369416,0.705007357588
1547,1.0,0.999631180085,1
1548,1.0,0.999631180085,1
1550,0.742,0.733304800954,0.750554054322
1551,0.0008,0.000345444476995,0.00157570710536
1552,0.8092,0.801359068963,0.816860436312
1553,1.0,0.999631180085,1
1603,0.491,0.481155589984,0.500849654201
1604,0.0482,0.0440840898954,0.0525815074601
1605,0.5206,0.510753697632,0.530434298956
1608,0.874,0.867336806558,0.880444531343
1654,0.8279,0.820356585116,0.835251937591
1655,0.9117,0.905968352283,0.91719053567
1656,1.0,0.999631180085,1
1657,0.1785,0.171039087119,0.186148629252
1658,1.0,0.999631180085,1
1659,0.8638,0.856921330249,0.870466040402
1660,0.4774,0.467567978311,0.487245190496
1706,0.7144,0.705435295968,0.723239686723
1707,0.8777,0.87111834234,0.884060803871
1708,0.3286,0.319394973631,0.33790494192
1709,0.1415,0.134723930481,0.148485568934
1710,0.2401,0.231754764614,0.248596848279
1711,1.0,0.999631180085,1
1753,0.1298,0.123271388736,0.136545024364
1758,0.0037,0.00260643900771,0.00509639125316
1759,1.0,0.999631180085,1
1760,0.6681,0.658772681691,0.677329328217
1761,1.0,0.999631180085,1
1762,0.2714,0.262701970159,0.280231342764
1804,0.5716,0.561831492748,0.581326783987
1805,1e-05,0,0.000368819914619
1810,0.6803,0.671057984026,0.689436906916
1811,0.4814,0.471563580938,0.491247257083
1812,1.0,0.999631180085,1
1813,0.7172,0.708260728688,0.72601261853
1855,0.3901,0.380522999122,0.399741048868
1856,0.109,0.102956488313,0.115272261341
1857,0.002,0.00122206662132,0.00308715598922
1908,1.0,0.999631180085,1
1915,0.1623,0.155122223678,0.169675017566
1962,1.0,0.999631180085,1
1963,0.1189,0.112617815165,0.125405054362
1964,0.231,0.222768557215,0.239388380664
1965,0.5753,0.565541181729,0.585014938586
1966,1.0,0.999631180085,1
1967,1.0,0.999631180085,1
1968,0.1868,0.179203062928,0.19457977944
2015,0.8514,0.844276291969,0.858318397123
2017,0.7154,0.706444331062,0.724230067547
2019,0.0355,0.0319591175788,0.0393146049056
2070,0.8281,0.820559932314,0.835448472824
2071,1e-05,0,0.000368819914619
2072,0.7193,0.71038007889,0.728092041634
2073,0.4554,0.445603429721,0.465222558796
2121,1.0,0.999631180085,1
2122,0.0373,0.0336712496603,0.0412012987551
2123,0.0239,0.0209956898595,0.0270859150829
2125,0.1235,0.117111835816,0.130108306944
2174,1.0,0.999631180085,1
