Grid,P-value,P-value lower bound,P-value upper bound
358,1.0,0.999631180085,1
572,0.8352,0.82778115892,0.842423070851
623,1.0,0.999631180085,1
675,1.0,0.999631180085,1
726,0.2116,0.20362954379,0.219738754762
777,1.0,0.999631180085,1
828,0.2902,0.281316747198,0.299205583542
829,1.0,0.999631180085,1
879,1.0,0.999631180085,1
930,1.0,0.999631180085,1
982,0.886,0.879608296937,0.892165925293
983,0.2557,0.247171699674,0.264370789698
1033,0.3085,0.299454264719,0.317657381343
1034,1.0,0.999631180085,1
1085,1.0,0.999631180085,1
1086,0.7449,0.736235629165,0.753421530666
1135,0.7967,0.788676158658,0.804550678215
1183,0.7034,0.694339381501,0.712342025036
1235,1.0,0.999631180085,1
1289,0.8946,0.888416226955,0.90055288067
1294,1.0,0.999631180085,1
1346,0.4566,0.44680100282,0.466424286418
1398,1.0,0.999631180085,1
1445,0.9021,0.896107735813,0.90785689878
1448,0.0768,0.0716549376356,0.0821930989442
1449,0.8734,0.866723759182,0.87985793395
1450,0.1731,0.165730793138,0.180660096348
1494,1.0,0.999631180085,1
1498,0.7415,0.732799535597,0.750059611978
1499,1e-05,0,0.000368819914619
1501,1.0,0.999631180085,1
1546,1.0,0.999631180085,1
1547,1.0,0.999631180085,1
1550,1e-05,0,0.000368819914619
1551,0.0013,0.000692371088574,0.00222201362126
1552,0.8719,0.865191349795,0.878391231206
1556,1.0,0.999631180085,1
1602,1.0,0.999631180085,1
1603,0.0752,0.0701055768528,0.0805434274928
1605,1.0,0.999631180085,1
1607,1.0,0.999631180085,1
1654,0.4888,0.478957101911,0.49864942419
1655,0.7625,0.754033602388,0.77081326353
1656,1.0,0.999631180085,1
1657,0.7317,0.72289924639,0.740365629177
1658,1.0,0.999631180085,1
1659,1.0,0.999631180085,1
1705,0.1725,0.165141143804,0.180050098359
1706,1.0,0.999631180085,1
1707,0.9484,0.943881853782,0.952654676163
1708,0.0006,0.000220220238658,0.00130548648301
1709,0.0046,0.00336968767469,0.00613104108262
1710,0.7014,0.692322616698,0.710359957611
1752,0.8819,0.875413210202,0.888163445722
1758,0.1364,0.12972974666,0.143282764524
1759,0.7709,0.762534942695,0.779107007315
1760,0.6066,0.596945573458,0.616192302378
1761,0.9081,0.902268452873,0.913692593188
1804,1.0,0.999631180085,1
1805,0.1094,0.103346549425,0.115681962308
1808,1.0,0.999631180085,1
1809,0.0364,0.032814881317,0.0402582529602
1810,0.1228,0.116427771761,0.12939278574
1811,1.0,0.999631180085,1
1812,1.0,0.999631180085,1
1813,1.0,0.999631180085,1
1855,0.8465,0.839284175992,0.853513401083
1856,1e-05,0,0.000368819914619
1857,0.0004,0.000108996948026,0.00102383928657
1859,1.0,0.999631180085,1
1907,0.903,0.897031401484,0.908732695442
1914,0.8607,0.853758401074,0.867430800655
1960,0.5401,0.530271256807,0.549905376956
1962,1.0,0.999631180085,1
1963,0.0375,0.0338616337117,0.0414107848166
1964,0.965,0.961209912336,0.96851603733
1965,1.0,0.999631180085,1
1966,1.0,0.999631180085,1
1967,0.8673,0.860493782406,0.873891519607
2015,0.7731,0.764762246401,0.781278415767
2017,0.549,0.53918426473,0.558787182704
2018,0.0159,0.0135400755351,0.0185476028475
2069,1.0,0.999631180085,1
2070,0.0126,0.0105066941492,0.0149838476556
2071,0.0008,0.000345444476995,0.00157570710536
2072,0.6588,0.64941235713,0.668095078459
2073,0.5558,0.545996325001,0.565571159721
2121,0.0014,0.000765597731179,0.00234784756391
2122,0.8101,0.802272714357,0.817746262767
2124,1.0,0.999631180085,1
