Grid,P-value,P-value lower bound,P-value upper bound
358,0.0087,0.00697404420997,0.0107205022393
623,0.9241,0.91873475839,0.929216660811
624,0.4596,0.449795185206,0.469428355849
674,1.0,0.999631180085,1
675,0.071,0.0660418134127,0.0762097373738
777,0.1948,0.18707735677,0.202700791081
880,1.0,0.999631180085,1
931,1.0,0.999631180085,1
982,1.0,0.999631180085,1
983,1.0,0.999631180085,1
1033,0.6526,0.643174354229,0.661936698011
1034,0.3845,0.374950018419,0.394117294391
1084,0.0308,0.0275008870318,0.0343759517832
1086,1.0,0.999631180085,1
1087,1.0,0.999631180085,1
1136,0.2865,0.277651701474,0.295472790174
1234,0.2936,0.2846852598,0.302635085433
1235,0.9638,0.959951393803,0.967375341415
1340,1.0,0.999631180085,1
1346,1.0,0.999631180085,1
1398,0.7907,0.7825925835,0.7986377702
1446,0.2643,0.255676978829,0.273060483319
1448,1.0,0.999631180085,1
1449,0.9188,0.913273670169,0.92408094873
1450,0.0036,0.00252263102443,0.00498046741716
1499,1e-05,0,0.000368819914619
1500,1.0,0.999631180085,1
1501,0.2099,0.201953666088,0.218015628607
1546,1.0,0.999631180085,1
1547,1.0,0.999631180085,1
1548,0.7984,0.790400326167,0.806225514008
1550,0.8323,0.82483107371,0.839574861895
1551,1e-05,0,0.000368819914619
1552,0.0444,0.040446043606,0.0486219513222
1553,0.9665,0.962784660717,0.969940300498
1598,1.0,0.999631180085,1
1599,1.0,0.999631180085,1
1603,0.1746,0.167205058685,0.182184949206
1605,0.4569,0.447100405014,0.466724709405
1608,1.0,0.999631180085,1
1654,1.0,0.999631180085,1
1655,0.1979,0.190130015974,0.205846313555
1657,1.0,0.999631180085,1
1659,0.8673,0.860493782406,0.873891519607
1705,0.8454,0.8381638454,0.852434379718
1706,1.0,0.999631180085,1
1707,0.9496,0.94512945696,0.953806323913
1708,0.0096,0.007782754127,0.0117107772252
1709,0.9063,0.900419498576,0.911942625084
1710,0.0249,0.0219349670552,0.0281459282301
1711,1.0,0.999631180085,1
1757,1e-05,0,0.000368819914619
1758,0.0689,0.0640118206616,0.0740410069409
1759,1.0,0.999631180085,1
1760,0.2404,0.232051102991,0.248900334392
1761,0.5022,0.492350834474,0.512047883616
1762,0.965,0.961209912336,0.96851603733
1804,0.2596,0.251028212516,0.268311996871
1809,1.0,0.999631180085,1
1810,0.578,0.568248602397,0.587705944283
1811,0.3111,0.302032550676,0.320277577725
1812,0.8606,0.85365639014,0.867332870638
1813,1.0,0.999631180085,1
1855,0.1753,0.167893118358,0.182896478169
1856,0.0001,2.53177759346e-06,0.000557036997947
1857,1.0,0.999631180085,1
1863,1.0,0.999631180085,1
1864,0.043,0.0391077029199,0.0471611815099
1906,0.7569,0.748368543904,0.765281598198
1907,0.9065,0.900624905998,0.912137097975
1908,0.0006,0.000220220238658,0.00130548648301
1959,0.7839,0.775701026724,0.791933311061
1960,0.7377,0.728959993722,0.746301375149
1964,0.0308,0.0275008870318,0.0343759517832
1965,0.5134,0.503550995641,0.52324119634
1966,0.0761,0.0709770093874,0.081471450442
1967,1.0,0.999631180085,1
2014,0.1306,0.124053927582,0.13736201228
2015,1.0,0.999631180085,1
2016,0.4583,0.448497662408,0.468126636191
2017,1.0,0.999631180085,1
2018,1.0,0.999631180085,1
2019,0.2851,0.276265116209,0.294060193138
2066,0.4684,0.458580173244,0.478238239899
2070,0.9735,0.970160702493,0.976559522551
2071,1e-05,0,0.000368819914619
2121,0.8234,0.815782226543,0.830828940816
2122,0.6108,0.601162679274,0.620372748045
2123,1.0,0.999631180085,1
2124,1.0,0.999631180085,1
2125,0.6483,0.638849023068,0.657664537287
2173,0.5695,0.559726239901,0.579233260727
2174,0.6161,0.606485329677,0.625647007699
